"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
1000 532 1 0.955947183418313 0.350637996831938 1.54420147233108 0.631142865629834 FALSE ""
1000 764 2 0.952873399902256 0.412063520165878 1.58521688189491 0.567315529855375 FALSE ""
1000 638 3 0.905806980327335 0.45020582702034 1.55560809159348 0.587602139271332 FALSE ""
1400 566 4 0.888401427853414 0.419387000151665 1.5366159542703 0.607031145881866 FALSE ""
200 78 5 0.967742069402842 0.41662634468258 1.56396402972766 0.628098996689935 FALSE ""
200 160 6 0.929762864675947 0.460053027800165 1.6189762835163 0.554855942724475 FALSE ""
1400 912 7 0.998675519864948 0.329534063014763 1.57621499690216 0.620088525440293 FALSE ""
1400 250 8 0.923573807748918 0.44763653411981 1.57256169955503 0.587369248486886 FALSE ""
600 886 9 0.959114787784738 0.430674272536422 1.59324783877958 0.596360315079956 FALSE ""
1400 346 10 0.970869896373261 0.391912583797374 1.61863689879019 0.529721055621156 FALSE ""
1400 848 11 0.941846701686553 0.427158335788766 1.58211700191028 0.598875633398922 FALSE ""
1400 753 12 0.953419997781338 0.403518384920581 1.55971564974272 0.617908786671486 FALSE ""
1400 401 13 0.906037848793203 0.41826999735134 1.56428847972801 0.55928419043527 FALSE ""
600 284 14 0.974057614814609 0.358160052707554 1.61174097804027 0.55685939638829 FALSE ""
200 163 15 0.913999164511918 0.444509412368113 1.56358134574248 0.632469676076242 FALSE ""
1000 696 16 0.93323749177692 0.405973199119081 1.57463588548698 0.564298175474944 FALSE ""
600 32 17 0.956162483780772 0.364786360243315 1.57146228643531 0.590328930615581 FALSE ""
200 780 18 0.842966311899537 0.488366932717655 1.47148109638822 0.669797456877243 FALSE ""
1000 947 19 1.01371668689663 0.376335639493744 1.59708153599066 0.632286400343131 FALSE ""
200 543 20 0.967237294008112 0.403130286080657 1.60109896346242 0.594337326667673 FALSE ""
1000 983 21 0.959513529175769 0.344723035202139 1.56957288721141 0.580596207600419 FALSE ""
200 28 22 0.896471032081068 0.35899234607059 1.49205445513719 0.68842331207956 FALSE ""
200 888 23 1.06325975262519 0.449916494404646 1.66787817902547 0.610947175613086 FALSE ""
600 52 24 0.882969521545475 0.391975034507306 1.51183600223693 0.590435910806973 FALSE ""
600 156 25 0.961192608173534 0.414978349595081 1.56423937806091 0.639668902028446 FALSE ""
200 840 26 0.88730094499377 0.516470256151064 1.61630559941292 0.481054495063916 FALSE ""
1000 894 27 0.890750436366982 0.423386782868431 1.55091269627677 0.56635789045235 FALSE ""
1000 236 28 1.01308624063206 0.334207171088067 1.58904894062375 0.629125153489842 FALSE ""
1400 586 29 0.959393947197145 0.401438986483833 1.61861684782123 0.543414785357016 FALSE ""
1000 557 30 0.930287172368806 0.422267152148411 1.60497715491084 0.55144215377535 FALSE ""
600 523 31 1.04304859472614 0.290793878373605 1.60125321534193 0.62807787008253 FALSE ""
1000 290 32 0.906833855377142 0.427913168223649 1.54515662272328 0.607543655295183 FALSE ""
1000 296 33 0.954616364960725 0.40783998315554 1.57008600356244 0.596447907329497 FALSE ""
1000 941 34 0.967013047640776 0.360082049786697 1.60568901409443 0.515498344603633 FALSE ""
600 789 35 0.912502367418521 0.381963496143023 1.55846565003515 0.53333168941957 FALSE ""
1400 748 36 0.936882222887014 0.384189057725142 1.5425313303466 0.623451172082505 FALSE ""
200 266 37 0.862182200089539 0.459769212017893 1.50612487226109 0.680685775743909 FALSE ""
200 121 38 1.0238707001974 0.301853520129384 1.6162971417478 0.580061958500372 FALSE ""
1000 375 39 0.961659928688188 0.405482509023399 1.59782007329779 0.577332975548755 FALSE ""
200 790 40 0.975198628232083 0.32909672074251 1.63492498131065 0.538753621759882 FALSE ""
200 596 41 0.978871574200829 0.446068459355051 1.60267532559319 0.603147890211117 FALSE ""
200 189 42 1.04254760306408 0.278751037470785 1.61315664788335 0.554445731139616 FALSE ""
600 529 43 0.895811627626773 0.444300966368392 1.5037703786326 0.645738153842618 FALSE ""
200 952 44 1.06505825450872 0.379280411242984 1.69949967837834 0.538611371711334 FALSE ""
1000 572 45 0.913123647707883 0.397314300509081 1.52877881537677 0.627195152816729 FALSE ""
200 140 46 0.975612738596076 0.336948526327347 1.61346695383319 0.521364716763497 FALSE ""
1400 526 47 0.96570439282465 0.396808886561715 1.58972616233111 0.58971077219362 FALSE ""
1000 471 48 0.940681593712761 0.389498675391287 1.57606648781971 0.563842219697846 FALSE ""
600 503 49 1.04299554818189 0.309050164093976 1.62220609109581 0.594296144196734 FALSE ""
1000 919 50 0.975601889646755 0.399002877418173 1.62469496585695 0.544846724486931 FALSE ""
600 252 51 0.962253405827253 0.363040219897092 1.57595150658979 0.566245442645744 FALSE ""
1000 17 52 0.907314539156955 0.421285422773024 1.54639431133544 0.601674974520081 FALSE ""
600 151 53 0.93249373057512 0.402894202132732 1.57194745248458 0.584776961501114 FALSE ""
200 82 54 0.868065607223635 0.289885194529958 1.43451641173993 0.634452035612837 FALSE ""
1400 741 55 0.905608575167284 0.382435721273414 1.55679251312522 0.558686328382071 FALSE ""
600 153 56 0.926662171712797 0.37930365741806 1.52631399538275 0.591952368674579 FALSE ""
1400 416 57 0.976586333103646 0.377097328979244 1.60274404389531 0.577239727840627 FALSE ""
1000 419 58 0.967020220378933 0.419686543516279 1.61886628918061 0.576526798945339 FALSE ""
600 229 59 0.923063819640306 0.409096077408288 1.56446015660562 0.554924475236557 FALSE ""
200 628 60 1.02612763689136 0.326202290877397 1.62819073760313 0.602203547051539 FALSE ""
1400 478 61 0.932330016494086 0.367009220833747 1.55973071528963 0.584777879451039 FALSE ""
1400 430 62 0.9844301198459 0.389289761647473 1.60892547947089 0.561063454540167 FALSE ""
1000 672 63 0.945319239027512 0.42321288624342 1.5821122621381 0.603092871591078 FALSE ""
600 467 64 1.00550575605185 0.366817057331946 1.6446445062743 0.519946114778772 FALSE ""
200 654 65 0.941599990012048 0.493743565650813 1.56780716963537 0.722904930757531 FALSE ""
200 352 66 1.00614015001948 0.315297012594577 1.57730648444618 0.593144908580719 FALSE ""
600 143 67 0.915332691238165 0.402034855451008 1.55102848680329 0.607785264098573 FALSE ""
200 29 68 0.871833329915739 0.497823884723967 1.58321222976882 0.556090674688349 FALSE ""
1400 47 69 0.976975952643905 0.356686657849263 1.58605574515403 0.625021038552086 FALSE ""
1400 534 70 0.938796039804122 0.374550812956922 1.59840306751916 0.526739780009592 FALSE ""
1400 81 71 0.944777407416882 0.395471064691719 1.59302965271903 0.554750622108249 FALSE ""
600 559 72 0.970492151741274 0.348545391911094 1.57311872722394 0.600041836635661 FALSE ""
200 330 73 0.941421794000416 0.369860908176802 1.56012918862949 0.544014015973215 FALSE ""
600 266 74 0.924787005378485 0.435384852777394 1.62937915067521 0.538140755103333 FALSE ""
200 136 75 0.925492410608262 0.523416932754615 1.55347840161184 0.662499915825576 FALSE ""
200 855 76 0.959471760348145 0.510406349988408 1.70478296156112 0.454333096199116 FALSE ""
600 963 77 0.95645628006168 0.383449425951444 1.55920746096578 0.599857195643004 FALSE ""
1400 117 78 0.954019888637635 0.366496129570261 1.57868360025866 0.590926968370158 FALSE ""
1400 218 79 0.942647883619897 0.382617726835197 1.55576886055485 0.618730307248958 FALSE ""
1000 529 80 1.01576541228828 0.350086888252554 1.58896048817913 0.6044869609196 FALSE ""
600 197 81 0.98362083135916 0.36211331251388 1.62066273914073 0.564742621399632 FALSE ""
1000 269 82 0.892698585735991 0.422343641547011 1.54943939496819 0.577791703758137 FALSE ""
1400 754 83 0.957653434236379 0.369584650019323 1.53685758869619 0.635866213715357 FALSE ""
200 54 84 0.898397136618649 0.383917706312926 1.52816770373488 0.588821314902006 FALSE ""
1400 585 85 0.944192437580017 0.404524650158646 1.57425803890721 0.614352493628492 FALSE ""
600 750 86 0.902170377833741 0.46208039550342 1.58455896634802 0.544942672237595 FALSE ""
200 493 87 0.942605808741765 0.385537228083751 1.57153946572437 0.611133582923075 FALSE ""
600 712 88 0.961208979081917 0.420893478799792 1.60809237648938 0.573339946479769 FALSE ""
200 10 89 1.01766339411638 0.394313182560493 1.66799501693156 0.506173368724273 FALSE ""
200 871 90 1.00266507469479 0.403161399862506 1.617665121827 0.590894345757427 FALSE ""
600 186 91 0.979191926896937 0.386370467908992 1.56889136445438 0.63690045271539 FALSE ""
600 672 92 0.961679997475925 0.427322527889822 1.64035294689274 0.559561079249601 FALSE ""
1000 659 93 0.948857781843358 0.414166644854242 1.61478807727081 0.544026887521959 FALSE ""
200 120 94 0.9791201581283 0.3479098816064 1.60532979396238 0.563714425565495 FALSE ""
1400 580 95 0.978481659854608 0.33881626576967 1.58189000239926 0.580100993021019 FALSE ""
1400 922 96 0.941112707554329 0.46810590485132 1.58511017705282 0.60892380018221 FALSE ""
1400 664 97 0.93117986236446 0.428936764451703 1.61035844925473 0.541939561966949 FALSE ""
600 826 98 0.951214108918036 0.407719011096428 1.65713997125081 0.506423176642203 FALSE ""
1000 851 99 0.963133478936829 0.374224978293923 1.59928128101509 0.560509933115354 FALSE ""
200 407 100 0.926227393824884 0.453191357907681 1.5786248126957 0.566125552437831 FALSE ""
200 591 101 1.00332464215602 0.373899784024457 1.617754343027 0.574468527074021 FALSE ""
1000 105 102 0.920017587335058 0.39747914298799 1.56031720489272 0.581000628499734 FALSE ""
600 984 103 0.934349680919124 0.413330657733455 1.53948976047663 0.656036763907652 FALSE ""
200 7 104 0.976812408659962 0.384128949740955 1.60467796052219 0.567011573743224 FALSE ""
1400 892 105 0.964471567373874 0.424027761373354 1.57232776165997 0.639545774676937 FALSE ""
600 796 106 1.004363928538 0.409392384318297 1.61849925772008 0.576342114827198 FALSE ""
600 223 107 0.977763705698503 0.39133493116653 1.62704428344856 0.547635491864207 FALSE ""
200 437 108 0.858210201465824 0.467631790194361 1.53034382090914 0.543936228513672 FALSE ""
1000 648 109 0.979016588276204 0.357200487652229 1.58649781679636 0.582169563734642 FALSE ""
1000 147 110 0.944282802831452 0.434926356380928 1.5966513701714 0.584407705244215 FALSE ""
600 705 111 0.843017362029223 0.533650078212664 1.53052931280044 0.615933435300316 FALSE ""
200 177 112 0.958379892279009 0.456975685632817 1.61347014576486 0.645897336689468 FALSE ""
200 342 113 1.01561376507533 0.42435009984804 1.69443648613323 0.555299008028088 FALSE ""
600 573 114 0.982456518431178 0.429465658573163 1.63280401622908 0.57551582579863 FALSE ""
1400 463 115 0.934444509004547 0.375641073180782 1.54866114306511 0.621402362334593 FALSE ""
600 668 116 0.969398897296661 0.411411136570965 1.60067417190805 0.577571413455749 FALSE ""
200 416 117 0.961835971371107 0.435216269397632 1.60312264187407 0.570950116892675 FALSE ""
1000 208 118 0.905177051041697 0.37576709361129 1.53120320078536 0.583822424640586 FALSE ""
200 391 119 1.0732522563115 0.300845049764206 1.63529326259827 0.593790572104361 FALSE ""
1400 745 120 1.01362936275462 0.405117675640079 1.614092200496 0.644689067354571 FALSE ""
1000 391 121 0.959710097918935 0.410948024380395 1.59582436222201 0.594715036128319 FALSE ""
200 834 122 1.02147948159135 0.295155793876126 1.55487623664609 0.685159194241563 FALSE ""
600 419 123 0.988994870086378 0.394923576573665 1.59445025321966 0.611301057260712 FALSE ""
1400 671 124 0.992487564234543 0.38945281314779 1.62562261735752 0.550440853089383 FALSE ""
1400 151 125 0.967872509116089 0.344574381711257 1.56774745707042 0.601551492308247 FALSE ""
1000 363 126 0.915295053003398 0.440785294938761 1.55204765998405 0.601748403870914 FALSE ""
200 796 127 1.02392330091563 0.322722141851217 1.5310024765941 0.728402083309614 FALSE ""
600 253 128 0.895891634840805 0.445066927228222 1.51719426673901 0.66400756966053 FALSE ""
1400 201 129 0.953515067355473 0.441481545101882 1.6071674929736 0.571939134821468 FALSE ""
200 644 130 0.926399843592578 0.414886420490379 1.61944167353555 0.483884759736255 FALSE ""
1400 67 131 0.955731730034893 0.425960418756373 1.58227859217253 0.614544308800092 FALSE ""
1000 957 132 0.979515045776824 0.406066047816021 1.60514695496755 0.620219410268774 FALSE ""
1000 580 133 0.940410220375047 0.427336838714962 1.59065389893645 0.576630360562569 FALSE ""
1400 792 134 0.882212910760606 0.434485562833416 1.51589785800254 0.612116113757958 FALSE ""
1400 317 135 0.97870731240631 0.411603797031287 1.58313993238493 0.633269291292957 FALSE ""
1000 771 136 0.946808275499318 0.405855232749195 1.58883123424132 0.585861521335785 FALSE ""
1000 574 137 0.959223828293372 0.411221596824896 1.57095191534992 0.630165860949849 FALSE ""
1400 1 138 0.948880040890768 0.35675518281515 1.57122134893501 0.589845975840953 FALSE ""
1400 803 139 1.00744461249704 0.411076119352849 1.62086937917005 0.63548497823971 FALSE ""
1000 552 140 1.01270388357743 0.366976131579191 1.6252876120764 0.589081839121682 FALSE ""
200 844 141 0.911620413479998 0.436363190140896 1.56780481977591 0.642160225546496 FALSE ""
600 690 142 1.00070033662527 0.34797796712735 1.58931621917108 0.584545159409411 FALSE ""
1000 283 143 0.919139254790346 0.453295672390217 1.59610953038756 0.576229073224372 FALSE ""
600 972 144 0.944464074055765 0.407224372755999 1.5980136926257 0.568595132117373 FALSE ""
200 426 145 0.952502895636987 0.593509899617888 1.6261150862212 0.668047968309494 FALSE ""
600 456 146 0.961934816110236 0.404647921115631 1.64860664408891 0.521150080381411 FALSE ""
200 244 147 0.915845099107793 0.574641000575455 1.64645980335241 0.547307883748113 FALSE ""
200 535 148 1.0471997580362 0.294279860197093 1.7208477372762 0.395019376977913 FALSE ""
1400 247 149 0.969081973859238 0.371119453362734 1.58179313180635 0.601744556185013 FALSE ""
1000 654 150 0.991383626274507 0.395203292285139 1.62164525089513 0.573581313058685 FALSE ""
1400 108 151 0.934972949743426 0.370553631777982 1.54879426857964 0.614307657671871 FALSE ""
600 444 152 0.937170684025072 0.377352835529127 1.52408035224525 0.649839513447951 FALSE ""
1400 663 153 0.939798600000712 0.370749017420402 1.5675627183298 0.572224034851454 FALSE ""
1000 456 154 0.924625768776851 0.40346001345393 1.57553369882461 0.589418997629292 FALSE ""
1400 988 155 0.949946639074802 0.420223065386113 1.60528991061476 0.577261372899878 FALSE ""
1400 800 156 0.958126292942127 0.407661159883671 1.57224379112754 0.612106365487992 FALSE ""
200 631 157 0.916297253316727 0.387654575580493 1.58073429191167 0.536177679684501 FALSE ""
1000 418 158 0.934682172114511 0.413213138534845 1.57074441062529 0.610415836851085 FALSE ""
200 794 159 0.996777300550213 0.412856979266363 1.55837742761581 0.682242854087966 FALSE ""
1400 842 160 0.95225863524233 0.360976642352609 1.54592240531392 0.633342945884745 FALSE ""
600 120 161 0.98140800026798 0.392742358676208 1.59165958106579 0.660900371425508 FALSE ""
1000 285 162 0.953017613820072 0.375981438237431 1.55187674261765 0.607902485701076 FALSE ""
1000 766 163 0.904162254949687 0.428193962258861 1.54933106937727 0.605717748401473 FALSE ""
600 255 164 0.958854138296905 0.37153389139579 1.56409193140947 0.625085444158909 FALSE ""
200 356 165 0.855819400532453 0.492323246554721 1.51232224621869 0.634175459743483 FALSE ""
200 156 166 0.964682305595987 0.419491530024757 1.6391656599977 0.503144521515015 FALSE ""
1400 235 167 0.91035229138743 0.404007205869069 1.57504973320459 0.524186180850524 FALSE ""
600 482 168 0.878069054147137 0.441661878691649 1.51052186048712 0.639570891294711 FALSE ""
1000 57 169 0.933910921581315 0.333443363967718 1.52662369664793 0.621835376640583 FALSE ""
1000 793 170 0.984036996052395 0.423819625683807 1.62885258489326 0.578455717224809 FALSE ""
200 892 171 0.975193049402249 0.447595519347883 1.59101511873956 0.665974622788176 FALSE ""
1000 602 172 0.945044846839148 0.404517789473003 1.57686877800432 0.58611612408237 FALSE ""
1000 643 173 0.909188364699101 0.376555455185802 1.54074944399825 0.577333776155955 FALSE ""
1000 812 174 0.957884754404996 0.363530641529038 1.58520908691239 0.566493188172661 FALSE ""
1000 6 175 0.959693294506171 0.473597207845155 1.64185771223309 0.572244345080987 FALSE ""
1000 692 176 0.939772135649695 0.405879797646888 1.60023084508353 0.587415785642745 FALSE ""
600 303 177 0.940872943025636 0.390085666660336 1.5941724106518 0.522163737549298 FALSE ""
600 336 178 0.937621254351483 0.370281106751676 1.51709099165379 0.678220186407194 FALSE ""
600 256 179 0.916747558010487 0.457771383409255 1.5816019205673 0.615122011504956 FALSE ""
1000 974 180 0.957199605436942 0.384579605345456 1.60548943490563 0.542585624844279 FALSE ""
1400 471 181 0.923021925696031 0.460941587348647 1.57527708972576 0.584278459749973 FALSE ""
1400 465 182 0.9478698450467 0.409101709430377 1.56743499980851 0.608374670131035 FALSE ""
1400 673 183 1.00526815076884 0.360535633763706 1.64665043454209 0.537418839801249 FALSE ""
600 854 184 0.915043364259118 0.410969221386783 1.55895295811786 0.590459616717662 FALSE ""
1400 71 185 0.970009663318441 0.363277601438094 1.59971780647191 0.572912413193557 FALSE ""
1400 704 186 0.979273518563087 0.402438137054008 1.59104715828785 0.603416274782965 FALSE ""
600 232 187 0.957110213011916 0.409961908124783 1.63009024548832 0.506534792877349 FALSE ""
600 914 188 0.963421408704107 0.315678567613373 1.60645951656192 0.553499473177501 FALSE ""
1000 212 189 0.924725591336107 0.396166838615029 1.55361285349565 0.58552265456829 FALSE ""
1400 726 190 0.919340976686605 0.41909340412291 1.58284207607065 0.535855029175226 FALSE ""
1400 865 191 0.957307925068958 0.407385955324889 1.61873040482355 0.545798821939016 FALSE ""
1000 470 192 1.00931448909457 0.381491194323142 1.6254576587861 0.599066024512468 FALSE ""
1400 209 193 0.918755673096625 0.440905277007301 1.55691578795905 0.607492935077822 FALSE ""
1400 282 194 0.966200993264049 0.428158532292553 1.60690670884232 0.586303093435897 FALSE ""
1400 26 195 0.94996966860711 0.406692630784977 1.58532800579737 0.621014711683742 FALSE ""
600 12 196 0.906506054419615 0.365980440689001 1.54630745867299 0.568716954745096 FALSE ""
200 458 197 1.03848485936132 0.254846477669044 1.55992219902653 0.610963895476021 FALSE ""
200 139 198 0.999390503085709 0.316273189357324 1.55645377985828 0.619198956811029 FALSE ""
1400 242 199 0.941543410057149 0.400642006003876 1.57699129506099 0.580110399384127 FALSE ""
600 541 200 0.974235276707039 0.388202674729351 1.5668026121178 0.619899553703937 FALSE ""
1400 775 201 0.982192432420699 0.414700033263091 1.61588454932946 0.586371428716352 FALSE ""
1400 368 202 0.987684015264826 0.374123439332608 1.59961036782412 0.595403227090852 FALSE ""
200 322 203 0.995486847734976 0.251500095226103 1.59209800739235 0.48760285363571 FALSE ""
1000 727 204 0.948997990870925 0.379622883833153 1.59723551066201 0.556768118075506 FALSE ""
600 790 205 0.998248179451928 0.337223157943205 1.61123387443872 0.56393114613341 FALSE ""
1400 489 206 0.929038398227734 0.398308045431275 1.57863798557477 0.569091685794575 FALSE ""
600 308 207 0.966121756803592 0.380467949458226 1.65398820319412 0.537038355908163 FALSE ""
600 946 208 0.972817152708603 0.434741783318176 1.63349837935832 0.537487418826494 FALSE ""
200 725 209 1.00256387098036 0.379352008444827 1.69734685408555 0.450228711206719 FALSE ""
1400 817 210 0.893846461830387 0.414233942109859 1.53024746360801 0.605187767920453 FALSE ""
1400 160 211 0.972876401076753 0.378202799861657 1.59002910767152 0.571342540361117 FALSE ""
1000 710 212 0.961243996909452 0.362484084370725 1.5674301529952 0.59170087371116 FALSE ""
1000 177 213 0.968634812708954 0.422075471987438 1.623577628743 0.560299764840189 FALSE ""
200 438 214 0.991795852095406 0.514026589915766 1.67033741113926 0.597394995645849 FALSE ""
1000 345 215 0.963765072977484 0.440742599582702 1.57500877726526 0.64227201939363 FALSE ""
1400 434 216 0.960617093154587 0.355268870255697 1.58277112155049 0.566416045479628 FALSE ""
1400 910 217 0.911002966711764 0.383613065115223 1.54967333009606 0.561904557166359 FALSE ""
600 812 218 0.963238357178238 0.441053541538982 1.64490427545482 0.54151380569638 FALSE ""
1400 223 219 0.973200191864553 0.395056916674201 1.59322169818158 0.585400885205491 FALSE ""
600 75 220 0.904497568584303 0.371944851374365 1.54266489406215 0.587345108063312 FALSE ""
1000 61 221 0.999422063540563 0.370722286317763 1.63281783914049 0.532867110496027 FALSE ""
1000 972 222 1.00032931023506 0.370039185515798 1.62359887940088 0.564455929151357 FALSE ""
600 675 223 0.961547245463483 0.41037975437173 1.59745694838556 0.578401156077209 FALSE ""
1400 692 224 0.974510131451436 0.400953450628781 1.63470178958272 0.548248809274967 FALSE ""
1400 778 225 0.969864028460998 0.373021127239966 1.56818181040061 0.622504415631313 FALSE ""
200 276 226 0.888702589003057 0.482843071217858 1.59085814307992 0.558101339769211 FALSE ""
200 539 227 0.906450700588308 0.3218401357464 1.56766274131515 0.433256673118162 FALSE ""
1000 427 228 0.909890970048945 0.401423319240077 1.51501333131318 0.630353983179891 FALSE ""
1400 387 229 0.923132760516107 0.42865439028587 1.56855407106387 0.602618269829033 FALSE ""
1400 391 230 0.941666985631143 0.417607300512485 1.59688219261936 0.571150840782803 FALSE ""
600 931 231 0.952600807344595 0.408250294857514 1.55491372732671 0.6499306016564 FALSE ""
1400 424 232 0.916400984651121 0.407094797832024 1.52701126553877 0.6253137537469 FALSE ""
600 736 233 0.89521727047861 0.413674049251763 1.54070608206677 0.562420298388725 FALSE ""
200 224 234 0.97466483151829 0.334662169149801 1.58457512875272 0.54122390430062 FALSE ""
200 724 235 1.02149038699995 0.415839114577839 1.6564921044342 0.584979837656619 FALSE ""
600 793 236 0.934883476832879 0.406144855599798 1.59305046206634 0.58359552506102 FALSE ""
1400 360 237 0.978423764431675 0.394814547141966 1.60834312426736 0.58844988182134 FALSE ""
200 712 238 1.01118626089351 0.34938167422823 1.58461086159084 0.634959831104482 FALSE ""
200 772 239 0.991689582980162 0.399424507971839 1.62649751970438 0.595382505548085 FALSE ""
1000 951 240 0.988176043588242 0.354879361499975 1.59735947248121 0.568611586069955 FALSE ""
1400 694 241 0.949003026953325 0.402682447481581 1.57767559683358 0.582819719277583 FALSE ""
