"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
600 1.6 0.8 718 1 0.677304245380907 0.5 FALSE ""
1400 1.2 1.2 871 2 1.18092265138622 1.15075562617449 FALSE ""
1000 1.2 1.2 541 3 1.19175620076985 1.13438570034262 FALSE ""
1000 1.2 0.8 658 4 1.17688686040382 0.772862724863589 FALSE ""
600 1.2 0.8 819 5 0.978949270403173 0.5 FALSE ""
200 1.2 1.2 747 6 1.17429981019287 1.16698202794396 FALSE ""
200 1.6 1.2 857 7 0.894701455454484 0.5 FALSE ""
1000 1.2 1.2 390 8 1.21743817091306 1.20650469080341 FALSE ""
200 1.2 0.8 810 9 1.15471641767902 0.773407587270592 FALSE ""
200 1.2 1.2 937 10 1.20593728952252 1.1757614447197 FALSE ""
1000 1.6 0.8 277 11 0.665535376834826 0.5 FALSE ""
200 1.6 1.2 61 12 0.88389134286603 0.5 FALSE ""
1000 1.6 0.8 644 13 0.703692148737253 0.5 FALSE ""
200 1.2 1.2 655 14 1.14357467090711 1.25955864492469 FALSE ""
1400 1.2 0.8 177 15 1.19228586529162 0.792585795997321 FALSE ""
600 1.6 1.2 540 16 0.933922091260276 0.5 FALSE ""
200 1.6 1.2 270 17 0.994515122731382 0.5 FALSE ""
600 1.2 0.8 797 18 1.15476992938032 0.767772134684215 FALSE ""
1000 1.2 0.8 503 19 1.22181034330019 0.842664621204239 FALSE ""
200 1.2 1.2 432 20 1.30974722648185 1.21839267654272 FALSE ""
1400 1.2 1.2 917 21 1.20534240309504 1.18317421423619 FALSE ""
200 1.6 0.8 330 22 0.746977178367147 0.5 FALSE ""
600 1.2 1.2 169 23 1.21029029027339 1.16245536273765 FALSE ""
200 1.2 1.2 383 24 1.24357352425696 1.28420667217693 FALSE ""
200 1.2 1.2 404 25 1.21697042703095 1.20713796366661 FALSE ""
600 1.2 0.8 591 26 1.12063150924462 0.808895446043065 FALSE ""
200 1.2 0.8 62 27 0.988537385462999 0.5 FALSE ""
200 1.6 1.2 903 28 0.937864986082172 0.5 FALSE ""
600 1.6 1.2 275 29 0.913438441688405 0.5 FALSE ""
1400 1.2 1.2 373 30 1.21465802793033 1.21911977851089 FALSE ""
200 1.6 0.8 588 31 0.708534167821426 0.5 FALSE ""
1000 1.2 1.2 35 32 1.21840553016877 1.21766817661985 FALSE ""
1000 1.6 0.8 257 33 0.706701903030111 0.5 FALSE ""
1400 1.6 0.8 319 34 0.713164657491232 0.5 FALSE ""
1000 1.2 1.2 324 35 1.23708535607171 1.22082196788416 FALSE ""
600 1.2 1.2 747 36 1.21971648873699 1.24471901048117 FALSE ""
200 1.6 0.8 248 37 0.726353265903189 0.5 FALSE ""
1400 1.6 0.8 168 38 0.691521933083623 0.5 FALSE ""
600 1.6 0.8 757 39 0.688032262160512 0.5 FALSE ""
600 1.6 0.8 174 40 0.724003340860815 0.5 FALSE ""
1400 1.6 1.2 553 41 0.964592493294808 0.5 FALSE ""
1000 1.6 0.8 682 42 0.661403586441369 0.5 FALSE ""
200 1.2 0.8 539 43 1.12946587238315 0.813457649767169 FALSE ""
600 1.2 1.2 171 44 1.16794251147178 1.16850650293814 FALSE ""
600 1.2 1.2 881 45 1.16607248944974 1.19280230100979 FALSE ""
1000 1.2 1.2 177 46 1.28153317469737 1.26339335124299 FALSE ""
200 1.2 1.2 256 47 1.11403590800985 1.10300310610927 FALSE ""
600 1.6 1.2 49 48 0.983525126971057 0.5 FALSE ""
1400 1.2 0.8 949 49 1.20020964774353 0.798818053738262 FALSE ""
600 1.2 0.8 77 50 0.949314442503996 0.5 FALSE ""
1000 1.6 0.8 376 51 0.678913831598407 0.5 FALSE ""
200 1.2 0.8 986 52 1.17846615264058 0.79566262129975 FALSE ""
1000 1.6 1.2 697 53 0.977862251850047 0.5 FALSE ""
600 1.6 1.2 677 54 0.928076013478601 0.5 FALSE ""
1000 1.6 0.8 174 55 0.690160927645584 0.5 FALSE ""
600 1.2 0.8 341 56 1.22430750044068 0.764555825661306 FALSE ""
1400 1.2 0.8 781 57 1.1810830065642 0.797918817172192 FALSE ""
200 1.6 1.2 374 58 0.934098647519374 0.5 FALSE ""
200 1.2 1.2 487 59 1.28189433196556 1.26864396063381 FALSE ""
1400 1.6 0.8 702 60 0.689546857212363 0.5 FALSE ""
1000 1.6 1.2 444 61 0.943436483218059 0.5 FALSE ""
1400 1.2 1.2 389 62 1.20047185147444 1.20362741534905 FALSE ""
200 1.6 0.8 794 63 0.671094374763581 0.5 FALSE ""
1400 1.2 0.8 740 64 1.19738777412165 0.82100045598627 FALSE ""
1400 1.6 1.2 778 65 0.921445475476026 0.5 FALSE ""
1400 1.6 0.8 36 66 0.70504307891005 0.5 FALSE ""
1000 1.6 1.2 413 67 0.950535536102404 0.5 FALSE ""
1000 1.6 0.8 693 68 0.705244037378867 0.5 FALSE ""
600 1.2 0.8 161 69 0.961993548112594 0.5 FALSE ""
200 1.6 0.8 444 70 0.6335509619663 0.5 FALSE ""
200 1.2 1.2 78 71 1.31136306087847 1.31264424093477 FALSE ""
600 1.6 1.2 15 72 0.963905290747743 0.5 FALSE ""
600 1.2 1.2 487 73 1.19304584483414 1.20178887168042 FALSE ""
1400 1.2 0.8 500 74 1.18752335256235 0.808742482782979 FALSE ""
1000 1.2 1.2 527 75 1.20049197865548 1.23276259067537 FALSE ""
600 1.2 0.8 939 76 0.940719699887108 0.5 FALSE ""
1400 1.2 1.2 620 77 1.15799072856836 1.16726545635407 FALSE ""
600 1.2 1.2 228 78 1.15979312432036 1.20294426914983 FALSE ""
1000 1.6 0.8 899 79 0.715565729283291 0.5 FALSE ""
600 1.2 1.2 342 80 1.16704950684831 1.16576613271431 FALSE ""
1000 1.2 0.8 812 81 1.21570365312527 0.84986593424254 FALSE ""
1400 1.2 0.8 840 82 1.1639939925238 0.779941225662449 FALSE ""
600 1.6 1.2 219 83 0.935194816442141 0.5 FALSE ""
200 1.6 1.2 725 84 0.967841033862128 0.5 FALSE ""
600 1.2 0.8 165 85 0.991316838062077 0.5 FALSE ""
1400 1.6 1.2 998 86 0.945375816908976 0.5 FALSE ""
200 1.6 0.8 949 87 0.700148175603308 0.5 FALSE ""
200 1.2 1.2 95 88 1.20759824904013 1.10461226466519 FALSE ""
1000 1.2 1.2 272 89 1.20534142708841 1.15758491486254 FALSE ""
1400 1.6 0.8 144 90 0.704743629245601 0.5 FALSE ""
200 1.6 0.8 312 91 0.67936757736767 0.5 FALSE ""
1000 1.2 0.8 209 92 1.16188947946177 0.772707906191635 FALSE ""
1400 1.6 1.2 780 93 0.945002514164383 0.5 FALSE ""
1400 1.2 0.8 259 94 1.2201270510664 0.81343960197693 FALSE ""
1000 1.2 1.2 659 95 1.25375387263162 1.22260005549234 FALSE ""
600 1.6 1.2 500 96 0.920649190151874 0.5 FALSE ""
200 1.2 1.2 239 97 1.17991160709979 1.07542481930155 FALSE ""
200 1.2 0.8 456 98 1.18061129024279 0.815318351693547 FALSE ""
200 1.2 1.2 294 99 1.31282378942763 1.30505167047262 FALSE ""
1000 1.2 1.2 297 100 1.12898379571203 1.18523874544107 FALSE ""
200 1.6 1.2 323 101 0.86791559484811 0.5 FALSE ""
200 1.2 0.8 604 102 1.19419584853785 0.823474857901304 FALSE ""
200 1.2 0.8 417 103 1.21751108914396 0.863563882927492 FALSE ""
1000 1.6 1.2 306 104 0.930103293962342 0.5 FALSE ""
1400 1.6 1.2 884 105 0.957330774780781 0.5 FALSE ""
1000 1.2 1.2 586 106 1.20268509718441 1.21040198741833 FALSE ""
1400 1.6 0.8 205 107 0.679573396053677 0.5 FALSE ""
1400 1.2 1.2 36 108 1.17764187699798 1.168108086804 FALSE ""
1400 1.6 0.8 595 109 0.699673295146054 0.5 FALSE ""
1400 1.2 0.8 339 110 1.02508949827328 0.5 FALSE ""
1000 1.6 0.8 927 111 0.68342743971449 0.5 FALSE ""
1400 1.2 0.8 57 112 1.17051536728327 0.784632957634181 FALSE ""
200 1.6 1.2 832 113 0.955804289265482 0.5 FALSE ""
600 1.6 0.8 618 114 0.650000021568615 0.5 FALSE ""
1400 1.6 0.8 536 115 0.693818716492246 0.5 FALSE ""
600 1.6 1.2 173 116 0.971067136112582 0.5 FALSE ""
600 1.2 0.8 307 117 0.99054342336299 0.5 FALSE ""
200 1.2 0.8 41 118 0.977071764437916 0.5 FALSE ""
600 1.2 1.2 441 119 1.24215811538353 1.18470540834921 FALSE ""
600 1.2 1.2 621 120 1.22478889969244 1.26843796431758 FALSE ""
1000 1.2 1.2 872 121 1.19669928935202 1.1836636797569 FALSE ""
1400 1.2 0.8 550 122 1.19399493384761 0.763086057373611 FALSE ""
1000 1.2 1.2 143 123 1.20713764479744 1.20598437073407 FALSE ""
200 1.6 1.2 582 124 0.968230794960125 0.5 FALSE ""
600 1.2 1.2 133 125 1.22701649425619 1.21113925405265 FALSE ""
200 1.2 0.8 995 126 0.986275933210915 0.5 FALSE ""
200 1.6 0.8 699 127 0.697796029048218 0.5 FALSE ""
1000 1.6 0.8 168 128 0.71565824313118 0.5 FALSE ""
200 1.6 0.8 213 129 0.66383220097857 0.5 FALSE ""
600 1.6 0.8 927 130 0.746577833537808 0.5 FALSE ""
1000 1.2 0.8 488 131 0.984540729134229 0.5 FALSE ""
600 1.2 1.2 23 132 1.22135239011428 1.26808981292215 FALSE ""
1400 1.6 0.8 841 133 0.693169181037757 0.5 FALSE ""
600 1.2 0.8 344 134 1.12791793499035 0.756393751640636 FALSE ""
1400 1.2 1.2 176 135 1.17915072815757 1.18092180054856 FALSE ""
1000 1.6 0.8 119 136 0.674668898694862 0.5 FALSE ""
200 1.6 0.8 408 137 0.632359648824305 0.5 FALSE ""
200 1.6 1.2 643 138 0.930765273858257 0.5 FALSE ""
200 1.2 1.2 458 139 1.28255574475847 1.21598750059552 FALSE ""
1400 1.6 1.2 131 140 0.915874364916717 0.5 FALSE ""
1000 1.6 1.2 909 141 0.975270174317881 0.5 FALSE ""
1000 1.6 0.8 424 142 0.697728300415692 0.5 FALSE ""
1000 1.2 0.8 662 143 1.18643491542443 0.808162028164671 FALSE ""
200 1.6 0.8 311 144 0.638463835588981 0.5 FALSE ""
200 1.6 1.2 490 145 0.828584847077818 0.5 FALSE ""
200 1.6 0.8 422 146 0.726416407043511 0.5 FALSE ""
1000 1.2 0.8 106 147 1.20424491054543 0.8281525618678 FALSE ""
200 1.2 0.8 866 148 1.01886212485483 0.5 FALSE ""
1000 1.6 0.8 452 149 0.664206686388096 0.5 FALSE ""
1000 1.2 1.2 3 150 1.19457229893669 1.18754643213604 FALSE ""
600 1.2 1.2 968 151 1.24310791888046 1.18222316461109 FALSE ""
200 1.6 0.8 381 152 0.635374730858644 0.5 FALSE ""
200 1.6 0.8 351 153 0.706747590014892 0.5 FALSE ""
1400 1.6 1.2 409 154 0.974875705117886 0.5 FALSE ""
1400 1.2 0.8 826 155 1.20225017416346 0.798913216999446 FALSE ""
600 1.2 0.8 24 156 1.16011400351993 0.7966594553131 FALSE ""
1000 1.2 1.2 533 157 1.18594180409048 1.22299420006035 FALSE ""
200 1.6 1.2 686 158 0.95285363106349 0.5 FALSE ""
600 1.6 0.8 66 159 0.714011368525606 0.5 FALSE ""
