"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
800 10 1.7 605 1 10.6893934508938 1.7138726445556 FALSE ""
400 30 1.05 848 2 51.0915848107811 1.08064091184773 FALSE ""
200 10 1.7 132 3 8.64441132239099 1.6854358105521 FALSE ""
1000 30 1.05 927 4 53.8227467130529 1.07994212017688 FALSE ""
600 10 1.05 290 5 16.6995688775582 1.07838191638843 FALSE ""
1000 10 1.05 238 6 17.0743721556275 1.07948016557861 FALSE ""
800 30 1.7 153 7 28.6433152402222 1.68509845433171 FALSE ""
200 20 1.05 10 8 35.5060154540394 1.08341265865696 FALSE ""
800 30 1.05 148 9 50.0361384870887 1.07623094233166 FALSE ""
200 20 1.7 40 10 20.711006809168 1.68117884038954 FALSE ""
1000 20 1.7 941 11 20.5964269747618 1.68450786832037 FALSE ""
600 10 1.05 897 12 15.5763497321827 1.07322810358911 FALSE ""
1000 30 1.05 320 13 50.7308747034045 1.07972912294614 FALSE ""
800 10 1.7 251 14 9.40045853428086 1.66781026233109 FALSE ""
1000 30 1.7 821 15 35.1502378758875 1.7795841003814 FALSE ""
600 10 1.7 495 16 11.3349732045144 1.70863254265859 FALSE ""
400 10 1.05 22 17 17.2782598142202 1.07872013899765 FALSE ""
400 20 1.05 36 18 35.0998426687231 1.08178710959124 FALSE ""
800 10 1.7 662 19 9.08294199543987 1.66105344907433 FALSE ""
800 20 1.05 898 20 32.4908090940353 1.07542312653131 FALSE ""
600 30 1.7 439 21 29.1722642123844 1.70073766067781 FALSE ""
400 30 1.7 964 22 29.1405639972483 1.74979686493477 FALSE ""
400 20 1.7 975 23 20.4853588433272 1.71199330024767 FALSE ""
800 20 1.7 730 24 20.4538820582645 1.72359258111791 FALSE ""
400 30 1.7 312 25 29.8462554651119 1.7384851354205 FALSE ""
600 30 1.05 449 26 48.3667824168164 1.07550599654364 FALSE ""
600 30 1.05 894 27 49.321744248213 1.07647079637686 FALSE ""
1000 30 1.05 394 28 50.8550614896214 1.0783121848488 FALSE ""
1000 20 1.05 88 29 36.235816807933 1.0855054636771 FALSE ""
600 30 1.7 749 30 35.6157620796519 1.73575162581729 FALSE ""
600 20 1.7 669 31 17.1668460202502 1.6261337054677 FALSE ""
1000 10 1.7 595 32 9.82157704696096 1.70851387792258 FALSE ""
